Individual,Species,water_treatment,VPD_treatment
1,Cenchrus ciliares (Buffel grass),40%,low
2,Cenchrus ciliares (Buffel grass),80%,low
3,Cenchrus ciliares (Buffel grass),80%,low
4,Cenchrus ciliares (Buffel grass),40%,low
5,Cenchrus ciliares (Buffel grass),80%,low
6,Cenchrus ciliares (Buffel grass),20%,low
7,Cenchrus ciliares (Buffel grass),80%,low
8,Cenchrus ciliares (Buffel grass),20%,low
9,Cenchrus ciliares (Buffel grass),20%,low
10,Cenchrus ciliares (Buffel grass),40%,low
11,Cenchrus ciliares (Buffel grass),40%,low
12,Cenchrus ciliares (Buffel grass),20%,low
13,Sporobolus cryptandrus (Sand dropseed),80%,low
14,Sporobolus cryptandrus (Sand dropseed),40%,low
15,Sporobolus cryptandrus (Sand dropseed),20%,low
16,Sporobolus cryptandrus (Sand dropseed),20%,low
17,Sporobolus cryptandrus (Sand dropseed),20%,low
18,Sporobolus cryptandrus (Sand dropseed),80%,low
19,Sporobolus cryptandrus (Sand dropseed),40%,low
20,Sporobolus cryptandrus (Sand dropseed),80%,low
21,Sporobolus cryptandrus (Sand dropseed),40%,low
22,Sporobolus cryptandrus (Sand dropseed),40%,low
23,Sporobolus cryptandrus (Sand dropseed),20%,low
24,Sporobolus cryptandrus (Sand dropseed),80%,low
25,Schizachyrium scoparium (Little bluestem),80%,low
26,Schizachyrium scoparium (Little bluestem),80%,low
27,Schizachyrium scoparium (Little bluestem),40%,low
28,Schizachyrium scoparium (Little bluestem),80%,low
29,Schizachyrium scoparium (Little bluestem),40%,low
30,Schizachyrium scoparium (Little bluestem),80%,low
31,Schizachyrium scoparium (Little bluestem),20%,low
32,Schizachyrium scoparium (Little bluestem),40%,low
33,Schizachyrium scoparium (Little bluestem),40%,low
34,Schizachyrium scoparium (Little bluestem),20%,low
35,Schizachyrium scoparium (Little bluestem),20%,low
36,Schizachyrium scoparium (Little bluestem),20%,low
37,Bouteloua gracilis (Blue grama),80%,low
38,Bouteloua gracilis (Blue grama),80%,low
39,Bouteloua gracilis (Blue grama),40%,low
40,Bouteloua gracilis (Blue grama),40%,low
41,Bouteloua gracilis (Blue grama),20%,low
42,Bouteloua gracilis (Blue grama),20%,low
43,Bouteloua gracilis (Blue grama),20%,low
44,Bouteloua gracilis (Blue grama),80%,low
45,Bouteloua gracilis (Blue grama),40%,low
46,Bouteloua gracilis (Blue grama),40%,low
47,Bouteloua gracilis (Blue grama),20%,low
48,Bouteloua gracilis (Blue grama),80%,low
49,Cenchrus ciliares (Buffel grass),20%,high
50,Cenchrus ciliares (Buffel grass),80%,high
51,Cenchrus ciliares (Buffel grass),20%,high
52,Cenchrus ciliares (Buffel grass),20%,high
53,Cenchrus ciliares (Buffel grass),20%,high
54,Cenchrus ciliares (Buffel grass),80%,high
55,Cenchrus ciliares (Buffel grass),40%,high
56,Cenchrus ciliares (Buffel grass),80%,high
57,Cenchrus ciliares (Buffel grass),40%,high
58,Cenchrus ciliares (Buffel grass),80%,high
59,Cenchrus ciliares (Buffel grass),40%,high
60,Cenchrus ciliares (Buffel grass),40%,high
61,Sporobolus cryptandrus (Sand dropseed),40%,high
62,Sporobolus cryptandrus (Sand dropseed),20%,high
63,Sporobolus cryptandrus (Sand dropseed),80%,high
64,Sporobolus cryptandrus (Sand dropseed),40%,high
65,Sporobolus cryptandrus (Sand dropseed),80%,high
66,Sporobolus cryptandrus (Sand dropseed),80%,high
67,Sporobolus cryptandrus (Sand dropseed),20%,high
68,Sporobolus cryptandrus (Sand dropseed),80%,high
69,Sporobolus cryptandrus (Sand dropseed),40%,high
70,Sporobolus cryptandrus (Sand dropseed),20%,high
71,Sporobolus cryptandrus (Sand dropseed),20%,high
72,Sporobolus cryptandrus (Sand dropseed),40%,high
73,Schizachyrium scoparium (Little bluestem),40%,high
74,Schizachyrium scoparium (Little bluestem),20%,high
75,Schizachyrium scoparium (Little bluestem),40%,high
76,Schizachyrium scoparium (Little bluestem),20%,high
77,Schizachyrium scoparium (Little bluestem),80%,high
78,Schizachyrium scoparium (Little bluestem),80%,high
79,Schizachyrium scoparium (Little bluestem),40%,high
80,Schizachyrium scoparium (Little bluestem),80%,high
81,Schizachyrium scoparium (Little bluestem),20%,high
82,Schizachyrium scoparium (Little bluestem),80%,high
83,Schizachyrium scoparium (Little bluestem),20%,high
84,Schizachyrium scoparium (Little bluestem),40%,high
85,Bouteloua gracilis (Blue grama),40%,high
86,Bouteloua gracilis (Blue grama),80%,high
87,Bouteloua gracilis (Blue grama),40%,high
88,Bouteloua gracilis (Blue grama),40%,high
89,Bouteloua gracilis (Blue grama),80%,high
90,Bouteloua gracilis (Blue grama),20%,high
91,Bouteloua gracilis (Blue grama),20%,high
92,Bouteloua gracilis (Blue grama),20%,high
93,Bouteloua gracilis (Blue grama),40%,high
94,Bouteloua gracilis (Blue grama),80%,high
95,Bouteloua gracilis (Blue grama),20%,high
96,Bouteloua gracilis (Blue grama),80%,high
